image_name,regressor_dataset,score
1021.jpg,live,0.7467511892318726
104.jpg,live,0.5265856385231018
1068.jpg,live,0.6494500041007996
1101.jpg,live,0.39945000410079956
1118.jpg,live,0.4478638172149658
142.jpg,live,0.5834383368492126
9.jpg,live,0.5760992765426636
990.jpg,live,0.6062840223312378
993.jpg,live,0.5606913566589355
996.jpg,live,0.4512571692466736
1021.jpg,csiq,0.870182454586029
104.jpg,csiq,0.638493001461029
1068.jpg,csiq,0.776920735836029
1101.jpg,csiq,0.502750813961029
1118.jpg,csiq,0.555851399898529
142.jpg,csiq,0.627994954586029
9.jpg,csiq,0.705387532711029
990.jpg,csiq,0.748600423336029
993.jpg,csiq,0.665958821773529
996.jpg,csiq,0.548588216304779
1021.jpg,tid2013,0.40574461221694946
104.jpg,tid2013,0.27575328946113586
1068.jpg,tid2013,0.49422523379325867
1101.jpg,tid2013,0.25220727920532227
1118.jpg,tid2013,0.31232014298439026
142.jpg,tid2013,0.24699895083904266
9.jpg,tid2013,0.35908663272857666
990.jpg,tid2013,0.28345727920532227
993.jpg,tid2013,0.36755016446113586
996.jpg,tid2013,0.43528562784194946
1021.jpg,kadid10k,0.436767578125
104.jpg,kadid10k,0.2154541015625
1068.jpg,kadid10k,0.454833984375
1101.jpg,kadid10k,0.3082275390625
1118.jpg,kadid10k,0.2623291015625
142.jpg,kadid10k,0.530517578125
9.jpg,kadid10k,0.2628173828125
990.jpg,kadid10k,0.3504638671875
993.jpg,kadid10k,0.2872314453125
996.jpg,kadid10k,0.2777099609375
1021.jpg,flive,0.6428669691085815
104.jpg,flive,0.3721088469028473
1068.jpg,flive,0.6128561496734619
1101.jpg,flive,0.21901540458202362
1118.jpg,flive,0.4254547953605652
142.jpg,flive,0.35679951310157776
9.jpg,flive,0.41314420104026794
990.jpg,flive,0.4789586067199707
993.jpg,flive,0.4328727424144745
996.jpg,flive,0.5635150671005249
1021.jpg,spaq,0.4603521227836609
104.jpg,spaq,0.2819272577762604
1068.jpg,spaq,0.43028584122657776
1101.jpg,spaq,0.2191115915775299
1118.jpg,spaq,0.3648660182952881
142.jpg,spaq,0.1787075400352478
9.jpg,spaq,0.2841368317604065
990.jpg,spaq,0.2876090705394745
993.jpg,spaq,0.3228047788143158
996.jpg,spaq,0.45060622692108154
1021.jpg,clive,0.4204323887825012
104.jpg,clive,0.21355897188186646
1068.jpg,clive,0.18720164895057678
1101.jpg,clive,-0.03865062817931175
1118.jpg,clive,0.16984052956104279
142.jpg,clive,-0.03170618414878845
9.jpg,clive,0.09676603972911835
990.jpg,clive,0.1747332066297531
993.jpg,clive,0.1621069461107254
996.jpg,clive,0.30604633688926697
1021.jpg,koniq10k,0.5319713354110718
104.jpg,koniq10k,0.35976096987724304
1068.jpg,koniq10k,0.49117276072502136
1101.jpg,koniq10k,0.1874322146177292
1118.jpg,koniq10k,0.30594152212142944
142.jpg,koniq10k,0.2917567193508148
9.jpg,koniq10k,0.42378008365631104
990.jpg,koniq10k,0.4393261671066284
993.jpg,koniq10k,0.4127320945262909
996.jpg,koniq10k,0.3877163231372833
